from,to,prob,pagerank_from,spc_original,spc_weighted,forward_from_sources,backward_to_sinks
"('确定', '知识规划类')","('确保', '知识规划类')",0.5,0.004183384743855778,8,0.016733538975423113,2,4
"('提出', '知识协作类')","('说明', '知识协作类')",1.0,0.002769262984473568,6,0.016615577906841407,1,6
"('出版', '成果发布类')","('选择', '成果影响类')",1.0,0.002345449653739142,7,0.016418147576173995,1,7
"('开辟', '成果影响类')","('获取', '成果影响类')",0.5,0.004609226908272627,7,0.016132294178954197,1,7
"('校正', '知识重构类')","('获取', '知识重构类')",1.0,0.002269988669877577,7,0.01588992068914304,1,7
"('控制', '知识重构类')","('提出', '知识规划类')",0.5,0.003958030088498216,8,0.015832120353992864,2,4
"('引用', '成果影响类')","('起到', '成果影响类')",1.0,0.002567234836487287,6,0.01540340901892372,1,6
"('排除', '知识重构类')","('获取', '知识重构类')",1.0,0.002196257486436248,7,0.015373802405053736,1,7
"('说明', '知识协作类')","('讨论', '知识协作类')",0.5,0.005119807243830472,6,0.015359421731491416,2,3
"('说明', '知识协作类')","('吸引', '成果影响类')",0.5,0.005119807243830472,6,0.015359421731491416,2,3
"('完成', '知识重构类')","('控制', '知识重构类')",1.0,0.002192395257858252,7,0.015346766805007763,1,7
"('整理', '知识整合类')","('发表', '成果发布类')",0.5,0.005113192993747492,6,0.015339578981242476,1,6
"('求解', '知识重构类')","('证明', '知识重构类')",0.5,0.003059218755879898,10,0.01529609377939949,1,10
"('解决', '知识重构类')","('提供', '资源获取类')",0.5,0.003773324034756523,8,0.015093296139026092,2,4
"('选择', '知识重构类')","('分离', '知识重构类')",1.0,0.002065894141434804,7,0.014461258990043628,1,7
"('担任', '知识协作类')","('撰写', '知识整合类')",1.0,0.002365301493367888,6,0.014191808960207327,1,6
"('投稿', '成果发布类')","('发表', '成果发布类')",1.0,0.002345449653739142,6,0.014072697922434853,1,6
"('要求', '知识规划类')","('提出', '知识协作类')",1.0,0.002293636297998509,6,0.013761817787991053,1,6
"('召开', '知识协作类')","('说明', '知识协作类')",1.0,0.002289719500972898,6,0.01373831700583739,1,6
"('获取', '成果影响类')","('成为', '成果影响类')",0.5,0.00892435261273404,3,0.01338652891910106,3,1
"('修订', '知识重构类')","('发表', '成果发布类')",1.0,0.002141648874563805,6,0.01284989324738283,1,6
"('控制', '知识重构类')","('达到', '成果影响类')",0.5,0.003958030088498216,6,0.011874090265494647,2,3
"('采用', '知识重构类')","('证明', '成果影响类')",0.3333333333333333,0.005875362280388962,6,0.011750724560777923,2,3
"('安排', '知识规划类')","('研究', '知识重构类')",0.5,0.005813810635277922,4,0.011627621270555845,4,1
"('明确', '知识规划类')","('控制', '知识重构类')",0.5,0.002999581148513023,7,0.01049853401979558,1,7
"('设计', '知识重构类')","('研制', '知识重构类')",0.25,0.006334917162956199,6,0.009502375744434298,6,1
"('采用', '成果影响类')","('证明', '成果影响类')",1.0,0.003084941565362803,3,0.00925482469608841,1,3
"('递交', '成果发布类')","('提出', '成果发布类')",1.0,0.001780538138391902,5,0.00890269069195951,1,5
"('参加', '知识协作类')","('发表', '成果发布类')",0.5,0.00288207499024412,6,0.00864622497073236,1,6
"('承认', '成果影响类')","('采用', '成果影响类')",1.0,0.002665022863745049,3,0.007995068591235147,1,3
"('合作', '知识协作类')","('测量', '知识重构类')",1.0,0.002430222510694389,3,0.007290667532083166,3,1
"('研制', '成果发布类')","('达到', '成果影响类')",1.0,0.002401306721064078,3,0.007203920163192234,1,3
"('表明', '知识重构类')","('研究', '知识重构类')",0.5,0.00684174220014689,2,0.00684174220014689,2,1
"('负责', '知识规划类')","('建立', '知识规划类')",0.3333333333333333,0.002215881169968358,9,0.006647643509905073,1,9
"('观测', '知识重构类')","('讨论', '知识协作类')",0.5,0.004115339402475085,3,0.006173009103712628,1,3
"('获取', '资源获取类')","('决定', '知识规划类')",0.5,0.003027641181399943,4,0.006055282362799886,2,2
"('获取', '资源获取类')","('带领', '知识协作类')",0.5,0.003027641181399943,4,0.006055282362799886,2,2
"('提高', '知识重构类')","('合作', '知识协作类')",0.5,0.003789530304752914,3,0.0056842954571293715,3,1
"('成功', '成果影响类')","('排除', '成果影响类')",1.0,0.002771949625701149,2,0.005543899251402298,2,1
"('具有', '知识整合类')","('研究', '知识重构类')",1.0,0.002657869499939776,2,0.005315738999879552,2,1
"('相符', '知识重构类')","('决定', '知识规划类')",1.0,0.002507236222036013,2,0.005014472444072026,1,2
"('应邀', '知识协作类')","('讲课', '知识协作类')",1.0,0.0008196721311475411,6,0.004918032786885246,1,6
"('处理', '知识重构类')","('研究', '知识重构类')",0.5,0.004766238770697495,2,0.004766238770697495,2,1
