from,to,prob,pagerank_from,spc_original,spc_weighted,forward_from_sources,backward_to_sinks
"('中止', '知识重构类')","('改造', '知识重构类')",1.0,0.002055272909532796,304,0.62480296449797,1,304
"('改进', '知识重构类')","('成功', '成果影响类')",0.1666666666666667,0.008115793960404283,419,0.5667529449015659,419,1
"('改进', '知识重构类')","('解决', '知识重构类')",0.1666666666666667,0.008115793960404283,419,0.5667529449015659,419,1
"('控制', '知识重构类')","('达到', '成果影响类')",0.3333333333333333,0.003921146465821659,426,0.5568027981466757,2,213
"('采用', '成果影响类')","('证明', '成果影响类')",1.0,0.002122233463998809,261,0.5539029341036891,1,261
"('添加', '知识重构类')","('试验', '知识重构类')",0.3333333333333333,0.003755291232619415,441,0.552027811195054,1,441
"('根据', '资源获取类')","('分析', '知识重构类')",0.1428571428571428,0.006838384928988092,565,0.5519553549826101,5,113
"('认识', '知识规划类')","('指导', '知识协作类')",1.0,0.000581882312728644,919,0.5347498453976238,1,919
"('担任', '知识规划类')","('组织', '知识协作类')",0.25,0.001749627729858448,1197,0.5235760981601405,1,1197
"('分离', '知识重构类')","('中止', '知识重构类')",1.0,0.001673569719818073,304,0.5087651948246942,1,304
"('开展', '知识重构类')","('提出', '知识重构类')",0.4,0.005815427038949128,217,0.5047790669807845,31,7
"('考虑', '知识重构类')","('提出', '知识重构类')",0.125,0.007566995391472727,532,0.5032051935329364,76,7
"('校正', '知识重构类')","('获取', '知识重构类')",1.0,0.00162051917911774,296,0.479673677018851,1,296
"('确保', '知识规划类')","('获取', '资源获取类')",1.0,0.00164815428495799,289,0.47631658835285906,1,289
"('采用', '知识重构类')","('获取', '成果发布类')",0.2,0.006371997469458257,372,0.4740766117276944,2,186
"('参加', '知识协作类')","('减敏', '知识重构类')",0.25,0.004240707721852303,441,0.4675380263342164,1,441
"('保持', '知识重构类')","('获取', '知识重构类')",1.0,0.001558939654092417,296,0.46144613761135544,1,296
"('承认', '成果影响类')","('采用', '成果影响类')",1.0,0.001749627729858448,261,0.4566528374930549,1,261
"('产生', '知识重构类')","('看见', '知识重构类')",0.5,0.002675617248665027,330,0.4414768460297294,1,330
"('考察', '知识重构类')","('获取', '知识重构类')",1.0,0.001488197473140036,296,0.44050645204945066,1,296
"('来到', '知识规划类')","('建立', '知识规划类')",0.3333333333333333,0.001768056968342589,747,0.4402461851173046,1,747
